index	date	sphere	title	text	link
0	4-3-2023	Общество	Гражданам разрешили добывать нефть и газ на своих дачных участках	Государственная дума приняла в третьем чтении законопроект«О внесении изменении в порядок добычи полезных ископаемых». Начиная с 1 марта этого года, гражданам разрешат добывать на приусадебных участках нефть и природный газ для личного пользования, а также в целях переработки. Согласно выводам экспертов Минэнерго, залежи полезных ископаемых на таких территориях весьма ограничены, поэтому извлечённые объёмы не повлияют как на статистику, так и на цены на рынке нефтепродуктов. Владельцам приусадебных участков также разрешат сдавать земли в аренду нефтегазовым компаниям. Для начала работ по бурению скважин следует оформить соответствующие документы и зарегистрироваться в ФНС в качестве индивидуального предпринимателя или самозанятого. Помимо единого налога, дачникам надлежит заплатить в бюджет НДПИ (налог на добычу природных ископаемых). В случае самовольной добычи природных ископаемых без оформления разрешений или регистрации в налоговом органе продолжат действовать нормы УК РФ.	https://panorama.pub/news/grazdanam-razresili-dobyvat-nefti-i
1	4-3-2023	Политика	Китай подал заявку на вступление в Союзное государство России, Белоруссии и Ирана	Заведующий Канцелярией Комиссии ЦК КПК по иностранным делам Ван И направил официальный запрос секретарю Союзного государства Дмитрию Мезенцеву с просьбой рассмотреть вопрос о присоединении КНР к единому политическому, экономическому и военному пространству. Пекин надеется, что китайская заявка будет рассмотрена в приоритетном порядке и уже в конце 2023 года КНР сможет начать реализацию дорожной карты по полной интеграции в СГ. «Настал момент объединяться, иначе наша государственность может оказаться под угрозой. Мы видим, как ЕС, НАТО и другие враждебные блоки стремятся поставить Россию, Иран, Китай и Белоруссию на колени. Вместе мы дадим отпор коллективному Западу», – рассказал журналистам Ван И. Дмитрий Мезенцев в интервью «Комсомольской правде» пообещал в апреле организовать экстренное Государственного совета Союзного государства для оперативного рассмотрения запроса Пекина. «Мы сделаем всё, чтобы интеграция началась как можно скорее. Надо подумать, где будет столица. Думаю, можно её перемещать – по году в Москве, Пекине, Минске и Тегеране», – заявил Мезенцев. После публикации сообщения о возможном вступлении Китая в Союзное государство российский фондовый рынок вырос на треть, а рубль укрепился по отношению к доллару на 20%. Аналитики отмечают, что вместе Москва и Пекин смогут создать полноценную альтернативу НАТО и ЕС не только в политической, но и в военной сфере.	https://panorama.pub/news/kitaj-podal-zaavku-na-vstuplenie
2	4-3-2023	Политика	Деколонизаторки из Франции потребовали вернуть французские войска в Мали и Кот-д’Ивуар	Активисты движения «Смерть колониализму» из Парижа Наталья Панасюк и Тамара Трещенко провели у стен Лувра митинг с требованием к России прекратить политику агрессивного колониализма в отношении Мали и Кот-д’Ивуара. Для обеспечения независимости этих стран в них должны вернуться французские войска, уверены активистки. Европейцы впервые начали обеспечивать демократию и независимость Кот-д’Ивуара в XV веке, а в XIX веке французским войскам удалось закрепиться на этой территории и установить миссию по соблюдению прав человека. Чуть позже армия этой страны провела операцию по деколонизации соседней Мали, где была развёрнута беспрецедентная кампания по сохранению культурного наследия, языка и религии коренных народов. На протяжении полутора веков жители африканских государств были благодарны Парижу за развитие промышленности и образования в стране, а сами Мали и Кот-д’Ивуар стали процветающими и мощнейшими в регионе экономическими державами. Период процветания и благоденствия закончился, когда в страны пришли солдаты ЧВК «Вагнер». В числе военных преступлений, совершённых ими, вывоз малийских студентов на принудительное обучение в РУДН. «Невероятно, но Россия пытается колонизировать свободные, независимые и самодостаточные страны не только в Бурятии и Карелии, но и в Западной Африке, – говорит Наталья Панасюк. – Они силой препятствуют тому, чтобы Мали и Кот-д’Ивуар шли по избранному ими европейскому пути развития. Мешают этим странам войти в НАТО и Евросоюз. Только установление в них деколониальной французской администрации и размещение там достаточного количества европейских войск может вернуть этим странам свободу, которой они наслаждались 150 лет».	https://panorama.pub/news/dekolonizatorki-iz-francii-potrebovali-vernut
3	4-3-2023	Политика	Победа России: Госдума пересмотрела результаты Крымской войны	Государственная дума приняла постановление «Об итогах Крымской войны 1853-1856 гг.». Согласно документу, ответственными за разжигание конфликта признаны Великобритания и Франция, которые обязаны компенсировать России все издержки. «Лондон и Париж тогда спровоцировали конфликт, они нагло влезли в небольшой спор между нашей страной и Турцией. Поэтому англичане и французы должны покаяться и выплатить России репарации», – заявил депутат Анатолий Вассерман. Парламентарии оценили потери Российской империи в Крымской войне в 10 миллионов золотых рублей, что по современному курсу соответствует 700 миллиардов долларов. В ближайшее время МИД России направит официальные требования Великобритании и Франции выплатить компенсацию и принести Москве публичные извинения за агрессию.	https://panorama.pub/news/gosduma-peresmotrela-rezultaty-krymskoj-vojny
4	3-3-2023	Общество	Бездетных россиян будут ежегодно штрафовать	Государственная дума приняла в первом чтении законопроект о штрафах для россиян, которые до сих пор не завели детей. Планируется, что ежегодно с них будут взимать до 5 тысяч рублей. Согласно пояснительной записке, закон должен улучшить демографическую ситуацию и «обеспечить право граждан на достижение состояния естественного человеческого счастья, невозможное без детей». Документ предусматривает большой список исключений. Штраф не будет начисляться следующим категориям граждан: • Не достигшим 22 лет или достигшим 55 лет.• Не способным к зачатию детей по медицинским показателям или состоящим в браке с лицом, обладающим такими показателями. Диагноз должен подтверждаться ежегодно.• Оформившим развод в течение действующего календарного года.• Осужденным иотбывающим срок в местах лишения свободы или освободившимся из мест лишения свобод в действующем календарном году.• Пребывающим в длительных зарубежных командировкам (от 6 месяцев в году).• Лишённым родительских прав два раза или более в течение пяти лет. Один из авторов законопроекта, депутат Елена Бражникова назвала день, когда он будет принят окончательно, «светлым днём для российских семей» и «торжеством правильных ценностей». «Для каждого без исключения человека дети – это главная цель и главная ценность в жизни, – сказала она. – Принятый сегодня в первом чтении законопроект закрепляет эту истину на законодательном уровне и гарантирует, что у нас здоровое, полноценное общество, исповедующее ценности, посланные нам свыше».	https://panorama.pub/news/bezdetnyh-rossian-predlozili-ezegodno-strafovat
5	3-3-2023	Общество	В Рыбинске фанаты игры Atomic Heart своими силами восстановили Дом пионеров	Группа подростков в возрасте от 13 до 19 лет своими силами отремонтировали фасад пустующего с 1991 года Рыбинского Дома пионеров. Молодые люди объяснили свой созидательный порыв любовью к советскому прошлому, пробуждённой компьютерной игрой Atomic Heart. Деньги на покупку краски и штукатурки собирали в складчину, рассказывает 17-летний Тимофей П. Ради этого некоторые из ребят на неделю оставили любимую компьютерную игру и устроились грузчиками на местную железнодорожную станцию, чтобы не просить деньги у родителей. Пока старшие участники инициативной группы занимались фасадными работами, младшие наводили порядок на окружающей территории. Увидев, как работают подростки, местные жители не смогли остаться в стороне. Один из них, владелец небольшой фирмы по установке пластиковых окон, за свои средства восстановил окна Дома пионеров. После того, как будет закончена реставрация внутренних помещений, в нём начнут работать кружки робототехники, авиамоделирования, секция самбо и балетная студия. «Зря наши депутаты обвиняют компьютерные игры во всех пороках. Ведь игра может не только научить всяким гадостям, но и пробудить души прекрасные порывы. Atomic Heart учит игрока любви к Советскому Союзу, к созидательному труду и к строительству светлого будущего, – говорит Тимофей П. – Ведь кто его построит, если не мы? Конечно, никто из нас не был посвящён в октябрята, но мы сами пошили себе пионерские галстуки и решили работать над построением коммунистического общества в отдельно взятом городе».	https://panorama.pub/news/v-rybinske-fanaty-igry-atomic
6	3-3-2023	Политика	Телеканал «Дождь» лишили лицензии в Нидерландах	Телеканал «Дождь» с 5 марта больше не сможет продолжать вещание в Нидерландах. Государственная комиссия королевства по радио- и телевещанию приняла такое решение, поскольку зафиксировала ряд нарушений. Недовольство голландцев вызвал тот факт, что ведущие канала называли страну «Голландией», хотя так называется не государство, а один из его регионов. Ещё в 2020 году устаревшее название было официально запрещено в применению в масс-медиа (кроме как в историческом или в региональном контексте). Однако на «Дожде» приняли решение не исполнять соответствующую норму законодательства, поскольку старый вариант – привычнее и считается нормой в русском языке. «Очень жаль, что Голландия оказалась не так гостеприимна, как казалось поначалу, – сообщил источник в телеканале. – С другой стороны, переезд не будет большой проблемой, поскольку многие сотрудники ещё даже не успели распаковать чемодан после Латвии». По слухам, следующей страной, где зарегистрируется канал, может стать Канада.	https://panorama.pub/news/telekanal-dozd-lisili-licenzii-v
7	3-3-2023	Общество	В России возродят профессию бурлака	В министерстве труда и социальной политики состоялся круглый стол«Россия: профессии будущего». В рамках мероприятия эксперты предложили усовершенствовать рынок труда и повысить занятость населения, а также спрогнозировать, какие профессии и виды деятельности будут наиболее востребованными в стране в 2030-2050 годах. В ходе дебатов эксперты сошлись во мнении, что уже в ближайшие годы в России возродятся профессии, канувшие в лету пару десятков лет назад, такие как машинистка, телеграфист или оператор голубиной почты. Особое мнение высказал замминистра труда Василий Соляник. Эксперт предположил, что уже через пару лет обретёт популярность профессия бурлака. «Экологическая ситуация, а также санкции против целых отраслей экономики существенно переформатируют рынок труда. Людям придётся менять профориентацию, – заметил он.– Но есть и хорошая новость– суда стали тяжелее, чем ранее, значит, и бурлаков потребуется больше, особенно, если речь идёт о когда-то такой полноводной реке как Волга» Чтобы не терять время в Минтруда предложили начать готовить специалистов уже сегодня. Для этих целей из федерального бюджета выделят средства на открытие бесплатных всероссийских курсов бурлаков. Занятия будут проходить во всех регионах страны на базе учебных центров Федеральной службы по труду и занятости.	https://panorama.pub/news/v-rossii-vozrodat-professiu-burlaka
8	3-3-2023	Общество	Мэрия Омска объявила о закупке 500 единиц винтажных автобусов и трамваев	Омская мэрия объявила о масштабной закупке ретро-автобусов и трамваев, что практически полностью обновит линейку городского транспорта. 500 единиц старой техники приобретаются в рамках специальной ностальгической программы «Как в детстве». Пассажиры вскоре смогут ежедневно пользоваться до боли знакомыми автобусами ЛиАЗ-677, ПАЗ-672 и ПАЗ-3205 – к тому же, что последний до сих пор не сняли с производства. Планируется также приобрести винтажные трамваи КТМ-5. «Транспорт прежде всего должен доставлять пассажиров из точки А в точку Б, но у нас в городе он будетещё и историческим, – сказал источник в мэрии. – Высокая стоимость каждой единицы объясняется тем, что подобные ретро-машины сложно изготовить. Это будет практически ювелирная работа. Налёт ржавчины, глохнущие двгиатели, точечные повреждения выхлопной и топливной систем для воссоздания того самого аромата – это очень серьёзная работа»	https://panorama.pub/news/meria-omska-obavila-o-zakupke
9	3-3-2023	Общество	Кот из Дагестана сдал ЕГЭ по русскому языку на 80 баллов	В Махачкале 1 марта выпускники школ сдавали пробный Единый государственный экзамен по русскому языку. Кроме учащихся принять участие в тестировании могли все желающие, в том числе граждане, которые планируют в 2023 году поступить в высшие учебные заведения. Впервые в истории к сдаче ЕГЭ был допущен кот-вундеркинд по имени Аладдин. «Мы обеспечили Аладдину особые условия – у него же лапки, поэтому писать ручкой он не может. Кот сдавал ЕГЭ на компьютере, печатая ответы на клавиатуре», – рассказал замглавы министерства образования Дагестана Эмир Сулейманов. Выполнение всех заданий заняло у 4-летнего кота два часа, по итогам экзамена он набрал 80 баллов из 100 возможных, что соответствует оценке «отлично». Как написала на своей странице в «Одноклассниках» хозяйка животного, её питомец с детства проявлял способности к гуманитарным наукам. «Аладдин уже в первые месяцы жизни любил лежать рядом с книжками и переворачивать лапкой страницы. Потом мы стали показывать ему документальные фильмы и покупать развивающие игры», – поделилась своим опытом женщина. В ближайшее время кот планирует сдать ЕГЭ по литературе и обществознанию, а в следующем – подготовиться к экзамену по математике.	https://panorama.pub/news/kot-iz-dagestana-sdal-ege
